Grad_date,Grad_rank,Grad_from,pilot_type,datetime,Year,Month
1945-04-15T00:00:00Z,2nd Lt,TAAF,Single engine,1945-04-15,1945,April
1943-04-29T00:00:00Z,2nd Lt,TAAF,Single engine,1943-04-29,1943,April
1944-10-16T00:00:00Z,2nd Lt,TAAF,Single engine,1944-10-16,1944,October
1944-02-08T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-02-08,1944,February
1944-11-20T00:00:00Z,2nd Lt,TAAF,Single engine,1944-11-20,1944,November
1944-04-15T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-04-15,1944,April
1943-06-30T00:00:00Z,2nd Lt,TAAF,Single engine,1943-06-30,1943,June
1945-06-27T00:00:00Z,2nd Lt,TAAF,Single engine,1945-06-27,1945,June
1946-06-28T00:00:00Z,2nd Lt,TAAF,Single engine,1946-06-28,1946,June
1943-03-25T00:00:00Z,2nd Lt,TAAF,Single engine,1943-03-25,1943,March
1944-12-28T00:00:00Z,Flight Officer,TAAF,Twin engine,1944-12-28,1944,December
1946-06-28T00:00:00Z,2nd Lt,TAAF,Twin engine,1946-06-28,1946,June
1943-10-01T00:00:00Z,2nd Lt,TAAF,Single engine,1943-10-01,1943,October
1944-11-20T00:00:00Z,2nd Lt,TAAF,Single engine,1944-11-20,1944,November
1944-09-08T00:00:00Z,2nd Lt,TAAF,Single engine,1944-09-08,1944,September
1944-10-16T00:00:00Z,1st Lt,TAAF,Twin engine,1944-10-16,1944,October
1944-02-01T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-02-01,1944,February
1944-04-15T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-04-15,1944,April
1943-07-28T00:00:00Z,2nd Lt,TAAF,Single engine,1943-07-28,1943,July
1944-06-27T00:00:00Z,Flight Officer,TAAF,Single engine,1944-06-27,1944,June
1944-09-08T00:00:00Z,Flight Officer,TAAF,Single engine,1944-09-08,1944,September
1945-11-20T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-11-20,1945,November
